symbol,first_seen,worst_annual
PF_UNIUSD,2026-08-20,1.5264
PF_KAITOUSD,2026-08-21,1.3747
PF_LINKUSD,2026-08-20,1.1841
PF_ONTUSD,2026-08-21,1.0324
PF_JTOUSD,2026-08-21,0.7657
PF_PYTHUSD,2026-08-21,0.6914
PF_ACEUSD,2026-08-20,2.1766
PF_JUPUSD,2026-08-20,0.5868
PF_VIRTUALUSD,2026-08-21,0.5090
PF_LDOUSD,2026-08-21,0.4907
PF_TIAUSD,2026-08-21,0.4296
PF_TRUMPUSD,2026-08-20,1.3079
PF_CATIUSD,2026-08-20,2.1546
PF_ZKUSD,2026-08-21,0.3951
PF_SUIUSD,2026-08-21,0.3328
PF_STXUSD,2026-08-21,0.3231
