utc_time,funding_hot,basis_hot,smallcoin_flags,btc_regime,eth_regime
2026-07-20 13:10,110,0,0,TRENDING,TRENDING
2026-07-20 13:33,6,0,0,TRENDING,TRENDING
2026-07-20 19:57,6,0,0,TRENDING,TRENDING
2026-07-21 03:46,8,0,0,TRENDING,TRENDING
2026-07-21 08:46,5,0,1,TRENDING,TRENDING
2026-07-21 14:23,7,0,1,TRENDING,TRENDING
2026-07-21 19:52,9,0,1,TRENDING,TRENDING
2026-07-22 03:47,4,0,2,MIXED,TRENDING
2026-07-22 08:45,5,0,2,MIXED,TRENDING
2026-07-22 14:23,6,0,2,MIXED,TRENDING
2026-07-22 19:44,6,0,2,MIXED,TRENDING
2026-07-23 03:45,8,0,1,MIXED,MIXED
2026-07-23 08:45,5,0,2,MIXED,MIXED
2026-07-23 14:33,2,0,2,CHOPPY,MIXED
2026-07-23 19:46,4,0,2,CHOPPY,MIXED
2026-07-24 03:44,4,0,4,CHOPPY,CHOPPY
2026-07-24 08:43,4,0,4,CHOPPY,CHOPPY
2026-07-24 14:13,6,0,3,CHOPPY,CHOPPY
2026-07-24 16:46,6,0,3,CHOPPY,CHOPPY
2026-07-24 19:47,4,0,2,CHOPPY,CHOPPY
2026-07-25 03:38,7,0,2,CHOPPY,CHOPPY
2026-07-25 08:24,5,0,2,CHOPPY,CHOPPY
2026-07-25 14:02,3,0,3,CHOPPY,CHOPPY
2026-07-25 19:35,4,0,2,CHOPPY,CHOPPY
2026-07-26 03:56,3,0,2,CHOPPY,CHOPPY
2026-07-26 08:39,3,0,2,CHOPPY,CHOPPY
2026-07-26 13:57,5,0,1,CHOPPY,CHOPPY
2026-07-26 19:35,2,0,2,CHOPPY,CHOPPY
2026-07-27 04:03,1,0,1,CHOPPY,MIXED
2026-07-27 10:10,4,0,2,CHOPPY,MIXED
2026-07-27 15:14,4,0,1,CHOPPY,MIXED
2026-07-27 19:56,6,0,1,CHOPPY,MIXED
2026-07-28 03:36,6,0,2,CHOPPY,MIXED
2026-07-28 09:05,4,0,2,CHOPPY,MIXED
2026-07-28 14:38,10,0,1,CHOPPY,MIXED
2026-07-28 19:53,8,0,3,CHOPPY,MIXED
2026-07-29 03:41,8,0,3,CHOPPY,MIXED
2026-07-29 09:09,7,0,4,CHOPPY,MIXED
2026-07-29 14:32,5,0,3,CHOPPY,MIXED
2026-07-29 19:44,6,0,5,CHOPPY,MIXED
2026-07-30 03:30,4,0,2,CHOPPY,CHOPPY
2026-07-30 09:03,8,0,5,CHOPPY,CHOPPY
2026-07-30 14:32,6,0,3,CHOPPY,CHOPPY
2026-07-30 19:53,3,0,4,CHOPPY,CHOPPY
2026-07-31 03:51,3,0,3,CHOPPY,CHOPPY
2026-07-31 09:17,6,0,4,CHOPPY,CHOPPY
2026-07-31 14:36,8,0,1,CHOPPY,CHOPPY
2026-07-31 19:53,8,0,2,CHOPPY,CHOPPY
2026-08-01 03:51,7,0,2,CHOPPY,CHOPPY
2026-08-01 08:34,2,0,3,CHOPPY,CHOPPY
2026-08-01 13:56,6,0,2,CHOPPY,CHOPPY
2026-08-01 19:35,4,0,2,CHOPPY,CHOPPY
2026-08-02 03:54,7,0,1,CHOPPY,CHOPPY
2026-08-02 08:37,5,0,0,CHOPPY,CHOPPY
2026-08-02 13:56,3,0,0,CHOPPY,CHOPPY
2026-08-02 19:35,3,0,0,CHOPPY,CHOPPY
2026-08-03 03:55,4,0,0,CHOPPY,CHOPPY
2026-08-03 10:06,4,0,0,CHOPPY,CHOPPY
2026-08-03 15:17,1,0,0,CHOPPY,CHOPPY
2026-08-03 19:59,5,0,0,CHOPPY,CHOPPY
2026-08-04 03:38,2,0,0,CHOPPY,CHOPPY
2026-08-04 09:08,7,0,1,CHOPPY,CHOPPY
2026-08-04 14:39,6,0,3,CHOPPY,CHOPPY
2026-08-04 19:57,5,0,2,CHOPPY,CHOPPY
2026-08-05 03:33,5,0,3,CHOPPY,CHOPPY
2026-08-05 09:06,4,0,2,CHOPPY,CHOPPY
2026-08-05 14:34,6,0,3,CHOPPY,CHOPPY
2026-08-05 19:55,5,0,2,CHOPPY,CHOPPY
2026-08-06 03:39,2,0,2,CHOPPY,CHOPPY
2026-08-06 09:06,6,0,4,CHOPPY,CHOPPY
2026-08-06 14:35,9,0,4,CHOPPY,CHOPPY
